Room,WeekDay,Time,Course,Section,Instructor,Dates
GI326,Monday,0900 - 0950,MATH447 - Abstract Algebra I,1,Leonhardi,01/13/2020 - 05/01/2020
GI326,Monday,1000 - 1050,MATH347 - Number Theory,1,Errthum,01/13/2020 - 05/01/2020
GI326,Monday,1300 - 1350,JPN102 - Beginning Japanese II,1,Nagai,01/13/2020 - 05/01/2020
GI326,Monday,1300 - 1500,JPN102 - Beginning Japanese II,1,FINAL EXAM,05/04/2020 - 05/04/2020
GI326,Monday,1400 - 1450,STAT460 - Introduction to Mathematical Statistics II,1,Deppa,01/13/2020 - 05/01/2020
GI326,Tuesday,0800 - 0850,DSCI495 - Communication of Capstone Outcomes,1,Hooks,01/13/2020 - 05/01/2020
GI326,Tuesday,0800 - 0850,STAT395 - Professional Skill Development for Statistics,1,Malone,01/13/2020 - 05/01/2020
GI326,Tuesday,0800 - 0850,STAT495 - Communication of Capstone Outcomes,1,Malone,01/13/2020 - 05/01/2020
GI326,Tuesday,0800 - 0850,MATH395 -  Professional Skill Development for Mathematics,1,Wangberg,01/13/2020 - 05/01/2020
GI326,Tuesday,0800 - 0850,MATH495 - Communication of Independent Project Outcomes,1,Wangberg,01/13/2020 - 05/01/2020
GI326,Tuesday,0800 - 1000,MATH447 - Abstract Algebra I,1,FINAL EXAM,05/05/2020 - 05/05/2020
GI326,Tuesday,0930 - 1050,STAT365 - Experimental Design and Analysis,1,Johnson,01/13/2020 - 05/01/2020
GI326,Tuesday,1100 - 1220,STAT305 - Biometry,1,Kerby,01/13/2020 - 05/01/2020
GI326,Tuesday,1300 - 1350,JPN102 - Beginning Japanese II,1,Nagai,01/13/2020 - 05/01/2020
